cluster,fs,bytes,n_tasks,n_nodes,n_files,write_mean_rate,write_sd_rate,write_mean_time,write_sd_time,stat_mean_rate,stat_sd_rate,stat_mean_time,stat_sd_time,read_mean_rate,read_sd_rate,read_mean_time,read_sd_time,removal_mean_rate,removal_sd_rate,removal_mean_time,removal_sd_time
claix18,lustre,33554432,1,1,1000,51.675,4.398,19.488,1.779,21349.184,720.477,0.047,0.002,148.388,1.491,6.740,0.068,614.772,21.193,1.629,0.057
claix18,lustre,67108864,1,1,1000,35.558,0.416,28.127,0.331,21677.903,601.738,0.046,0.001,41.136,0.518,24.313,0.308,581.049,33.478,1.726,0.098
claix18,lustre,134217728,1,1,1000,17.014,0.177,58.783,0.612,21668.118,672.220,0.046,0.002,22.167,0.321,45.122,0.671,505.564,33.908,1.986,0.136
claix18,lustre,268435456,1,1,1000,10.720,0.180,93.308,1.582,20534.318,540.473,0.049,0.001,12.338,0.223,81.077,1.496,483.716,32.388,2.076,0.142
claix18,lustre,300000000,1,1,1000,10.107,0.140,98.964,1.379,20433.764,571.571,0.049,0.001,11.034,0.721,91.039,7.052,449.653,102.669,2.474,1.235
claix18,lustre,340000000,1,1,1000,9.019,0.131,110.899,1.629,20057.921,600.506,0.050,0.001,9.885,0.175,101.194,1.801,450.234,27.648,2.229,0.145
claix18,lustre,380000000,1,1,1000,8.360,0.130,119.647,1.864,19720.314,574.583,0.051,0.002,9.024,0.113,110.832,1.396,444.035,29.136,2.261,0.150
claix18,tmp,1,1,1,1000,46785.719,4636.831,0.022,0.002,519859.879,24830.034,0.002,0.000,312582.304,15626.687,0.003,0.000,75318.147,2589.376,0.013,0.000
claix18,tmp,2,1,1,1000,46878.080,5248.820,0.022,0.002,542801.265,10585.648,0.002,0.000,317961.969,6838.027,0.003,0.000,75548.928,1281.221,0.013,0.000
claix18,tmp,4,1,1,1000,47968.608,4740.089,0.021,0.002,546539.561,13873.603,0.002,0.000,313708.142,10344.628,0.003,0.000,76691.294,2001.751,0.013,0.000
claix18,tmp,8,1,1,1000,47590.899,4941.892,0.021,0.002,544473.302,26938.466,0.002,0.000,314753.886,7542.027,0.003,0.000,77126.502,1732.454,0.013,0.000
claix18,tmp,16,1,1,1000,46356.799,4592.312,0.022,0.002,539983.374,18314.695,0.002,0.000,313954.289,6823.608,0.003,0.000,75811.695,1596.898,0.013,0.000
claix18,tmp,32,1,1,1000,47448.026,4994.216,0.021,0.002,542700.314,14224.122,0.002,0.000,317157.564,9583.844,0.003,0.000,76627.499,1739.491,0.013,0.000
claix18,tmp,64,1,1,1000,45942.360,4136.417,0.022,0.002,541105.690,13631.461,0.002,0.000,312819.894,9800.430,0.003,0.000,75915.744,2156.668,0.013,0.000
claix18,tmp,128,1,1,1000,47967.615,5080.941,0.021,0.002,557146.828,10219.992,0.002,0.000,321886.064,7612.595,0.003,0.000,76591.212,1593.414,0.013,0.000
claix18,tmp,256,1,1,1000,45777.276,4142.151,0.022,0.002,540468.646,12501.608,0.002,0.000,319937.194,8491.834,0.003,0.000,76712.834,1634.144,0.013,0.000
claix18,tmp,512,1,1,1000,46583.721,4831.494,0.022,0.002,539968.777,13525.785,0.002,0.000,316116.410,6669.557,0.003,0.000,75655.880,1589.607,0.013,0.000
claix18,tmp,1024,1,1,1000,47415.041,5116.600,0.021,0.002,543604.214,17021.101,0.002,0.000,315420.358,11966.147,0.003,0.000,71378.774,13141.722,0.015,0.005
claix18,tmp,2048,1,1,1000,47653.961,4842.486,0.021,0.002,543003.256,16460.075,0.002,0.000,318338.390,6585.670,0.003,0.000,76454.845,1571.516,0.013,0.000
claix18,tmp,4096,1,1,1000,48028.324,4974.443,0.021,0.002,543762.046,15143.218,0.002,0.000,313222.481,17265.160,0.003,0.000,72609.648,9995.935,0.014,0.003
claix18,tmp,8912,1,1,1000,40968.969,3236.210,0.024,0.002,537498.182,11245.929,0.002,0.000,308843.744,8037.914,0.003,0.000,69355.520,1150.000,0.014,0.001
claix18,tmp,16384,1,1,1000,38091.357,3308.538,0.026,0.002,534476.605,9561.552,0.002,0.000,306809.666,9814.911,0.003,0.000,67397.651,1250.677,0.015,0.000
claix18,tmp,32768,1,1,1000,31233.411,2475.073,0.032,0.003,539528.878,10029.575,0.002,0.000,314923.618,7137.987,0.003,0.000,61081.325,749.061,0.016,0.000
claix18,tmp,65536,1,1,1000,23178.698,1153.890,0.043,0.002,517725.421,10966.351,0.002,0.000,313800.839,7310.155,0.003,0.000,50268.169,1200.479,0.020,0.001
claix18,tmp,131072,1,1,1000,15212.944,620.915,0.066,0.003,521589.202,13245.005,0.002,0.000,309101.551,7995.167,0.003,0.000,37749.586,638.323,0.027,0.001
claix18,tmp,262144,1,1,1000,9111.694,280.173,0.110,0.004,510689.208,11010.881,0.002,0.000,310053.345,8355.942,0.003,0.000,25082.776,3450.054,0.041,0.008
claix18,tmp,524288,1,1,1000,5003.508,74.538,0.200,0.003,511994.549,15416.497,0.002,0.000,304012.779,7933.331,0.003,0.000,15499.606,351.578,0.065,0.001
claix18,tmp,1048576,1,1,1000,2621.802,36.976,0.382,0.006,516366.160,31967.313,0.002,0.000,306633.843,24893.776,0.003,0.000,8839.927,315.107,0.113,0.005
claix18,tmp,2097152,1,1,1000,1361.893,11.553,0.734,0.006,532225.097,13292.183,0.002,0.000,314963.958,4602.300,0.003,0.000,4788.226,54.786,0.209,0.002
claix18,tmp,4194304,1,1,1000,697.687,3.778,1.433,0.008,520038.925,12245.148,0.002,0.000,311235.573,12378.857,0.003,0.000,2481.082,55.171,0.403,0.009
claix18,tmp,8388608,1,1,1000,351.109,5.287,2.849,0.043,526653.070,19593.565,0.002,0.000,314417.739,10715.140,0.003,0.000,1241.119,72.636,0.808,0.049
claix18,tmp,16777216,1,1,1000,169.795,0.771,5.889,0.027,527269.097,8845.231,0.002,0.000,312566.311,6581.048,0.003,0.000,637.634,19.879,1.570,0.049
claix18,tmp,33554432,1,1,1000,77.731,0.366,12.865,0.061,490710.336,12754.872,0.002,0.000,302783.570,7121.561,0.003,0.000,40.223,1.139,24.878,0.671
claix18,tmp,67108864,1,1,1000,34.323,0.286,29.137,0.245,494124.326,12531.071,0.002,0.000,302585.937,7636.272,0.003,0.000,12.625,0.141,79.218,0.887
claix18,tmp,134217728,1,1,1000,6.503,0.084,153.808,1.987,470747.455,7260.307,0.002,0.000,301974.169,6125.483,0.003,0.000,7.465,0.126,134.002,2.291
claix18,tmp,268435456,1,1,1000,2.290,0.034,436.851,6.427,480449.975,10808.851,0.002,0.000,298364.529,6350.166,0.003,0.000,8.578,0.161,116.616,2.164
claix18,tmp_odirect,1,1,1,1000,4932.089,143.602,0.203,0.006,76924.732,2819.134,0.013,0.001,52764.976,1756.478,0.019,0.001,30282.181,445.861,0.033,0.001
